wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val,truth-dt,truth-val
2/2/2019 14:51,1,2/2/2019 14:51,392,2/2/2019 14:51,13731.2,2019-02-02 14:51:00,1
2/2/2019 15:01,1,2/2/2019 15:01,390,2/2/2019 15:01,11981.33,2019-02-02 15:01:00,1
2/2/2019 15:11,1,2/2/2019 15:11,401,2/2/2019 15:11,6564.2,2019-02-02 15:11:00,1
2/2/2019 15:21,1,2/2/2019 15:21,392,2/2/2019 15:21,4340.7,2019-02-02 15:21:00,1
2/2/2019 15:31,1,2/2/2019 15:31,389,2/2/2019 15:31,5154.4,2019-02-02 15:31:00,1
2/2/2019 15:41,1,2/2/2019 15:41,386,2/2/2019 15:41,4663.08,2019-02-02 15:41:00,1
2/2/2019 15:51,1,2/2/2019 15:51,389,2/2/2019 15:51,5043.26,2019-02-02 15:51:00,1
2/2/2019 16:01,1,2/2/2019 16:01,392,2/2/2019 16:01,4501.9,2019-02-02 16:01:00,1
2/2/2019 16:11,1,2/2/2019 16:11,389,2/2/2019 16:11,4918.7,2019-02-02 16:11:00,1
2/2/2019 16:21,1,2/2/2019 16:21,388,2/2/2019 16:21,4872.7,2019-02-02 16:21:00,1
2/2/2019 16:31,1,2/2/2019 16:31,394,2/2/2019 16:31,4600.7,2019-02-02 16:31:00,1
