,AP.VIRIDIAN2_Total_Count
2019-07-02 07:57:31.652008000,3
2019-07-02 07:57:31.690002400,3
2019-07-02 07:57:31.701004000,3
2019-07-02 07:57:31.736007600,3
2019-07-02 07:57:31.737014700,3
2019-07-02 07:57:31.750000000,3
2019-07-02 07:58:31.635009700,3
2019-07-02 07:58:31.653015100,3
2019-07-02 07:58:31.691009500,3
2019-07-02 07:58:31.703002900,3
2019-07-02 07:58:31.740005400,3
2019-07-02 07:58:31.742004300,3
2019-07-02 07:58:31.756011900,3
2019-07-02 07:59:31.639007500,3
2019-07-02 07:59:31.656005800,3
2019-07-02 07:59:31.695007300,3
2019-07-02 07:59:31.707000700,3
2019-07-02 07:59:31.741012500,3
2019-07-02 07:59:31.743011400,3
2019-07-02 07:59:31.754013000,3
2019-07-02 08:01:31.668014500,3
2019-07-02 08:01:31.688003500,3
2019-07-02 08:01:31.723007200,3
2019-07-02 08:01:31.736007600,3
2019-07-02 08:01:31.778015100,3
2019-07-02 08:01:31.780014000,3
2019-07-02 08:01:31.793014500,3
2019-07-02 08:02:31.657012900,3
2019-07-02 08:02:31.674011200,3
2019-07-02 08:02:31.718002300,3
2019-07-02 08:02:31.731002800,3
2019-07-02 08:02:31.765014600,3
2019-07-02 08:02:31.767013500,3
2019-07-02 08:02:31.780014000,3
2019-07-02 08:03:31.663009600,3
2019-07-02 08:03:31.680007900,3
2019-07-02 08:03:31.717010400,3
2019-07-02 08:03:31.730010900,3
2019-07-02 08:03:31.768005300,3
2019-07-02 08:03:31.770004200,3
2019-07-02 08:03:31.784011800,3
2019-07-02 08:04:31.672012300,3
2019-07-02 08:04:31.691009500,3
2019-07-02 08:04:31.734008700,3
2019-07-02 08:04:31.747009200,3
2019-07-02 08:04:31.781005800,3
2019-07-02 08:04:31.783004700,3
2019-07-02 08:04:31.796005200,3
2019-07-02 08:05:31.670013400,3
2019-07-02 08:05:31.687011700,3
2019-07-02 08:05:31.723007200,3
2019-07-02 08:05:31.736007600,3
2019-07-02 08:05:31.775009100,3
2019-07-02 08:05:31.777008000,3
2019-07-02 08:05:31.792007400,3
2019-07-02 08:06:31.688003500,3
2019-07-02 08:06:31.708007800,3
2019-07-02 08:06:31.743011400,3
2019-07-02 08:06:31.756011900,3
2019-07-02 08:06:31.794006300,3
2019-07-02 08:06:31.796005200,3
2019-07-02 08:06:31.810012800,3
2019-07-02 08:07:31.696014400,3
2019-07-02 08:07:31.714004500,3
2019-07-02 08:07:31.750000000,3
2019-07-02 08:07:31.764007500,3
2019-07-02 08:07:31.804000800,3
2019-07-02 08:07:31.806015000,3
2019-07-02 08:07:31.818008400,3
2019-07-02 08:08:31.704010000,3
2019-07-02 08:08:31.721008300,3
2019-07-02 08:08:31.755004800,3
2019-07-02 08:08:31.766006400,3
2019-07-02 08:08:31.800003000,3
2019-07-02 08:08:31.802001900,3
2019-07-02 08:08:31.813003500,3
2019-07-02 08:09:31.726013100,3
2019-07-02 08:09:31.744003200,3
2019-07-02 08:09:31.785003600,3
2019-07-02 08:09:31.798004100,3
2019-07-02 08:09:31.833007800,3
2019-07-02 08:09:31.834014800,3
2019-07-02 08:09:31.846008300,3
2019-07-02 08:11:31.747009200,7
2019-07-02 08:11:31.764007500,7
2019-07-02 08:11:31.798004100,7
2019-07-02 08:11:31.812011700,7
