threshold,COR-MOR_logistic,COR-MOR_percentile,COR-MOR_perfect,ROC_x_percentile,ROC_y_percentile,ROC_x_logistic,ROC_y_logistic,ROC_x_perfect,ROC_y_perfect,CMC_x_percentile,CMC_y_percentile,CMC_x_logistic,CMC_y_logistic,CMC_x_perfect,CMC_y_perfect
0.205,inf,inf,0,0.355024712,1,0.386326194,1,,,0,0.355024712,0,0.386326194,,
0.206,inf,inf,0,0.355024712,1,0.385914333,1,,,0,0.355024712,0,0.385914333,,
0.207,inf,inf,0,0.35461285,1,0.385914333,1,,,0,0.35461285,0,0.385914333,,
0.208,inf,inf,0,0.354200988,1,0.385914333,1,,,0,0.354200988,0,0.385914333,,
0.209,inf,inf,0,0.354200988,1,0.385914333,1,,,0,0.354200988,0,0.385914333,,
0.21,inf,inf,0,0.354200988,1,0.385914333,1,,,0,0.354200988,0,0.385914333,,
0.211,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.212,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.213,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.214,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.215,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.216,inf,inf,0,0.354200988,1,0.385502471,1,,,0,0.354200988,0,0.385502471,,
0.217,inf,inf,0,0.353789127,1,0.38509061,1,,,0,0.353789127,0,0.38509061,,
0.218,inf,inf,0,0.353789127,1,0.38509061,1,,,0,0.353789127,0,0.38509061,,
0.219,inf,inf,0,0.353789127,1,0.384266886,1,,,0,0.353789127,0,0.384266886,,
0.22,inf,inf,0,0.353789127,1,0.384266886,1,,,0,0.353789127,0,0.384266886,,
0.221,inf,inf,0,0.353377265,1,0.384266886,1,,,0,0.353377265,0,0.384266886,,
0.222,inf,inf,0,0.353377265,1,0.384266886,1,,,0,0.353377265,0,0.384266886,,
0.223,inf,inf,0,0.353377265,1,0.384266886,1,,,0,0.353377265,0,0.384266886,,
0.224,inf,inf,0,0.353377265,1,0.383855025,1,,,0,0.353377265,0,0.383855025,,
0.225,inf,inf,0,0.353377265,1,0.383855025,1,,,0,0.353377265,0,0.383855025,,
0.226,inf,inf,0,0.353377265,1,0.383855025,1,,,0,0.353377265,0,0.383855025,,
0.227,inf,inf,0,0.353377265,1,0.383443163,1,,,0,0.353377265,0,0.383443163,,
0.228,inf,inf,0,0.353377265,1,0.383443163,1,,,0,0.353377265,0,0.383443163,,
0.229,inf,inf,0,0.353377265,1,0.383443163,1,,,0,0.353377265,0,0.383443163,,
0.23,inf,inf,0,0.353377265,1,0.383031301,1,,,0,0.353377265,0,0.383031301,,
0.231,inf,inf,0,0.353377265,1,0.38261944,1,,,0,0.353377265,0,0.38261944,,
0.232,inf,inf,0,0.353377265,1,0.38261944,1,,,0,0.353377265,0,0.38261944,,
0.233,inf,inf,0,0.353377265,1,0.38261944,1,,,0,0.353377265,0,0.38261944,,
0.234,inf,inf,0,0.353377265,1,0.382207578,1,,,0,0.353377265,0,0.382207578,,
0.235,inf,inf,0,0.353377265,1,0.381795717,1,,,0,0.353377265,0,0.381795717,,
0.236,inf,inf,0,0.353377265,1,0.380560132,1,,,0,0.353377265,0,0.380560132,,
0.237,inf,inf,0,0.353377265,1,0.379736409,1,,,0,0.353377265,0,0.379736409,,
0.238,inf,inf,0,0.352965404,1,0.379324547,1,,,0,0.352965404,0,0.379324547,,
0.239,inf,inf,0,0.352965404,1,0.378912685,1,,,0,0.352965404,0,0.378912685,,
0.24,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.241,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.242,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.243,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.244,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.245,inf,inf,0,0.352553542,1,0.378088962,1,,,0,0.352553542,0,0.378088962,,
0.246,inf,inf,0,0.352553542,1,0.3776771,1,,,0,0.352553542,0,0.3776771,,
0.247,inf,inf,0,0.35214168,1,0.3776771,1,,,0,0.35214168,0,0.3776771,,
0.248,inf,inf,0,0.35214168,1,0.3776771,1,,,0,0.35214168,0,0.3776771,,
0.249,inf,inf,0,0.35214168,1,0.3776771,1,,,0,0.35214168,0,0.3776771,,
0.25,inf,inf,0,0.35214168,1,0.3776771,1,,,0,0.35214168,0,0.3776771,,
0.251,inf,inf,0,0.35214168,1,0.376853377,1,,,0,0.35214168,0,0.376853377,,
0.252,inf,inf,0,0.35214168,1,0.376441516,1,,,0,0.35214168,0,0.376441516,,
0.253,inf,inf,0,0.35214168,1,0.376441516,1,,,0,0.35214168,0,0.376441516,,
0.254,inf,inf,0,0.35214168,1,0.376441516,1,,,0,0.35214168,0,0.376441516,,
0.255,inf,inf,0,0.35214168,1,0.376029654,1,,,0,0.35214168,0,0.376029654,,
0.256,inf,inf,0,0.351729819,1,0.376029654,1,,,0,0.351729819,0,0.376029654,,
0.257,inf,inf,0,0.351729819,1,0.376029654,1,,,0,0.351729819,0,0.376029654,,
0.258,inf,inf,0,0.351729819,1,0.376029654,1,,,0,0.351729819,0,0.376029654,,
0.259,inf,inf,0,0.351729819,1,0.376029654,1,,,0,0.351729819,0,0.376029654,,
0.26,inf,inf,0,0.351317957,1,0.376029654,1,,,0,0.351317957,0,0.376029654,,
0.261,inf,inf,0,0.351317957,1,0.376029654,1,,,0,0.351317957,0,0.376029654,,
0.262,inf,inf,0,0.351317957,1,0.376029654,1,,,0,0.351317957,0,0.376029654,,
0.263,inf,inf,0,0.350906096,1,0.376029654,1,,,0,0.350906096,0,0.376029654,,
0.264,inf,inf,0,0.350906096,1,0.376029654,1,,,0,0.350906096,0,0.376029654,,
0.265,inf,inf,0,0.350906096,1,0.376029654,1,,,0,0.350906096,0,0.376029654,,
0.266,inf,inf,0,0.350906096,1,0.376029654,1,,,0,0.350906096,0,0.376029654,,
