timestamp,WiFi-val,truth-val
2019-07-05 01:45:00,2,1
2019-07-05 01:50:00,2,1
2019-07-05 01:55:00,1,1
2019-07-05 02:00:00,1,1
2019-07-05 02:05:00,1,1
2019-07-05 02:10:00,1,1
2019-07-05 02:15:00,1,1
2019-07-05 02:20:00,1,1
2019-07-05 02:25:00,1,1
2019-07-05 02:30:00,1,1
2019-07-05 02:35:00,1,1
2019-07-05 02:40:00,1,1
2019-07-05 02:45:00,1,1
2019-07-05 02:50:00,1,1
2019-07-05 02:55:00,1,1
2019-07-05 03:00:00,1,1
2019-07-05 03:05:00,1,1
2019-07-05 03:10:00,1,1
2019-07-05 03:15:00,1,1
2019-07-05 03:20:00,1,1
2019-07-05 03:25:00,1,1
2019-07-05 03:30:00,1,1
2019-07-05 03:35:00,1,1
2019-07-05 03:40:00,1,1
2019-07-05 03:45:00,1,1
2019-07-05 03:50:00,1,1
2019-07-05 03:55:00,1,1
2019-07-05 04:00:00,1,1
2019-07-05 04:05:00,1,1
2019-07-05 04:10:00,1,1
2019-07-05 04:15:00,1,1
2019-07-05 04:20:00,1,1
2019-07-05 04:25:00,1,1
2019-07-05 04:30:00,1,1
2019-07-05 04:35:00,1,1
2019-07-05 04:40:00,1,1
2019-07-05 04:45:00,1,1
2019-07-05 04:50:00,1,1
2019-07-05 04:55:00,1,1
2019-07-06 00:00:00,1,1
2019-07-06 00:05:00,1,1
2019-07-06 00:10:00,1,1
2019-07-06 00:15:00,1,1
2019-07-06 00:20:00,1,1
2019-07-06 00:25:00,1,1
2019-07-06 00:30:00,1,1
2019-07-06 00:35:00,1,1
2019-07-06 00:40:00,1,1
2019-07-06 00:45:00,1,1
2019-07-06 00:50:00,1,1
2019-07-06 00:55:00,1,1
2019-07-06 01:00:00,1,1
2019-07-06 01:05:00,1,1
2019-07-06 01:10:00,1,1
2019-07-06 01:15:00,1,1
2019-07-06 01:20:00,1,1
2019-07-06 01:25:00,1,1
2019-07-06 01:30:00,1,1
2019-07-06 01:35:00,1,1
2019-07-06 01:40:00,1,1
2019-07-06 01:45:00,1,1
2019-07-06 01:50:00,1,1
2019-07-06 01:55:00,1,1
2019-07-06 02:00:00,1,1
2019-07-06 02:05:00,1,1
2019-07-06 02:10:00,1,1
2019-07-06 02:15:00,1,1
2019-07-06 02:20:00,1,1
2019-07-06 02:25:00,1,1
2019-07-06 02:30:00,1,1
2019-07-06 02:35:00,1,1
2019-07-06 02:40:00,1,1
2019-07-06 02:45:00,1,1
2019-07-06 02:50:00,1,1
2019-07-06 02:55:00,1,1
2019-07-06 03:00:00,1,1
2019-07-06 03:05:00,1,1
2019-07-06 03:10:00,1,1
2019-07-06 03:15:00,1,1
2019-07-06 03:20:00,1,1
2019-07-06 03:25:00,1,1
2019-07-06 03:30:00,1,1
2019-07-06 03:35:00,1,1
2019-07-06 03:40:00,1,1
2019-07-06 03:45:00,1,1
2019-07-06 03:50:00,1,1
2019-07-06 03:55:00,1,1
2019-07-06 04:00:00,1,1
2019-07-06 04:05:00,1,1
2019-07-06 04:10:00,1,1
2019-07-06 04:15:00,1,1
2019-07-06 04:20:00,1,1
2019-07-06 04:25:00,1,1
2019-07-06 04:30:00,1,1
2019-07-06 04:35:00,1,1
2019-07-06 04:40:00,1,1
2019-07-06 04:45:00,1,1
2019-07-06 04:50:00,1,1
2019-07-06 04:55:00,1,1
2019-07-07 00:00:00,1,1
2019-07-07 00:05:00,1,1
2019-07-07 00:10:00,1,1
2019-07-07 00:15:00,1,1
2019-07-07 00:20:00,1,1
2019-07-07 00:25:00,1,1
2019-07-07 00:30:00,1,1
2019-07-07 00:35:00,1,1
2019-07-07 00:40:00,1,1
2019-07-07 00:45:00,1,1
2019-07-07 00:50:00,1,1
2019-07-07 00:55:00,1,1
2019-07-07 01:00:00,1,1
2019-07-07 01:05:00,1,1
2019-07-07 01:10:00,1,1
